input	output
han de hoto hiya be takvrame,	遣霍托侍卫奏汗曰：
dosire de turga ojorakv morin ujen jaka be emu bade weri,	行前将羸瘦不堪用之马匹及重物留于一处。
ere niyengniyeri dendehe idu -i bade kemuni susaita karun tuqibufi hahilame unggi.	今春所分驻牧之地，仍各遣哨探五十人速往。”
isu -i puse noho etuku emte,	素青团龙缎衣一。
puse noho genggiyen orin ninggun, fulgiyan jafu susai, boso sunja tanggv gvsin, keibisu juwe tanggv nadan,	补子素缎二十六、红毡五十、布五百三十、毛毯二百七。
jifi dahaha hoton tehei bisire irgen -i ai jaka be umai neqihekv,	至降城居民，凡其诸物，秋毫无犯，
be genefi tuwaki,	我等前往觇视之。
dain de sain seme wesibuhe.	因骁勇善战，是以擢升。
ubaqi okdoro niyalma san tun ing ni hanqiki ebergi hafirahvn bade okdombi.	将迎于三屯营附近狭窄处。”
juwe beile hebdefi emu yebken hafan unggiqi ombiu.	二贝勒可否酌遣干练官员来替。”
juwan de huhus bira de deduhe,	初十日，驻跸虎湖斯河。
dulimbai gurun -i kouli xajin tuttu, han ume ferguwere.	中国之例法如此，请汗勿以为奇。”
be daitung, yang ho, siuwan fu teisu doroi jalin de gisureme genembi,	我将往大同、阳和、宣府议和，
giyan qang ni ma canjiyang minde aqanjifi amasi genere sidende, xanaha -i qouha holtome macanjiyang jihe seme dosinafi, orin isime xusai sabe wahabi,	建昌马参将来见并返回期间，山海关兵诈称马参将来，入得城内，杀书生约二十名，
gulu fulgiyan de lungsi, gulu lamun nikan -i gvsade aibari,	于是，遣龙什至正红旗，爱巴里至正蓝汉军旗，
birai ergide unggihe hvsun komso ojorahv,	“调往黄河一带之兵少，
sure han -i duiqi aniya duin biyai iqe juwe.	天聪四年四月初二日。
niyalmai oron ilibume gaifi wabuha niyalma de bumbi,	并罚取安葬银给与被杀之人；
gvsa be kadalara geren taijisa, yaya bure gaijara weilengge be gaifi, aniya biyai iqe ninggun de duin jusei bade isa,	管旗诸台吉等，携所有交换之罪人，当于正月初六日集于四子部落处。
qin wang, giyvn wang, doroi beile, qimari dari yamulara de, tu kiru be ume faidara, sara, maitu, u jang, mukxan -i teile faidafi yamulame jiu,	亲王、郡王、多罗贝勒，每日早朝，勿列旗纛，只列伞、金瓜、吾杖、棍以行，
terei sirame kubuhe fulgiyan -i zung bing guwan yeqen ini gvsai ambasa be gaifi hengkilehe,	次镶红旗总兵官叶臣率本旗诸臣叩拜，
mini dolo gvnihangge, jing dailame ishunde wanuqi, abkai banjibuha irgen inu sui mangga,	以我思之，师旅频仍，互相诛戮，而天生之民因此罹祸。
dain geneqi, uksin etufi jurambi,	战则我披甲胄而行，
qahar de qouha genehede, hada de xanqilaha be gidafi ulha, gaiha,	往征察哈尔时，击破营于山巅之兵，夺其牲畜。
orin monggo be dahabufi gajiha,	招降蒙古二十解至。
mau wen lung geli niyakvraha bithe,	毛文龙再拜致书。
derekei nadan morin,	德呼克依进马七，
geli han, beise weile hebexeme tebufi bisire be inu sarkv ofi,	抑为汗与诸贝勒挽留议事。
gajiha morin ihan be gaiha,	汗纳其所献马牛。
tenteke hafan han -i jalin de gvnirakv, gurun irgen -i jalin de joborakv, damu ini beyei teile be gvnime yabure jalingga ehe mujilengge niyalma kai.	是为臣而不为君谋、不为民忧，专图一己之私、心存奸慝之人也。”
gemu gaiha,	悉纳之；
mejige isinjime jakade alimbaharakv deu -i jalin gasame, hafan be takvrafi waliyame, mini majige mujilen be tuqibumbi,	闻讣不胜为弟哀。遣员致祭，聊布微忱。
tereqi enduringge han, qouha genehe wang sa, beile se, beise se, ambasa be gaifi, tangse de genefi monggo buren yehere buren burdeme, laba bileri fulgiyeme ilan jergi niyakvrafi uyun jergi hengkilefi, hanqiki be hairandara duka be dosifi honin erinde genggiyen elhe boude wesike.	饮毕，圣汗率出征诸王、贝勒、贝子及大臣等诣堂子，吹螺掌号及喇叭、唢呐，行三跪九叩礼。礼毕，入抚近门。未刻，还清宁宫。
abkai juse, xangsi enduri,	上天之子，尚锡之神，
wargi ashan -i tafukv be wasifi, ineku tob dulimba de amasi forome ilimbi,	从西阶下，仍在正中北向立。
jergi qi lakqaha ujui gung uqaraha de, morin tatafi jugvn -i dalbade dayame ilifi morin -i ninggude enggelefi dulembumbi,	超品一等公遇时，须勒马立于路旁，于马上起身，迎之通过；
juwan ninggun de, han -i sargan gaijara doroi beise -i benjihengge,	十六日，以汗纳福晋礼，诸贝勒进礼。
han, ilan amba beile, xoto taiji, geren zung bing guwan, gvsai ejete, geren qouha be gaifi genembi,	汗与三大贝勒、台吉硕托及总兵官、固山额真等统大军。
mini harangga dergi warka -i goloi niyalma sinde dosikangge be tuqibufi gaji seqi si burakv,	我所属东瓦尔喀路人，有进入尔国者，曾令归还，尔竟不与。
suna efu gvsa suna, ba jeu hoton -i wang zung bing guwan -i qouha be gidaha,	苏纳额驸旗下苏纳败霸州城王总兵官兵，
julge dai liyou abkai jui, aisin taizu, dai liyou -i harangga gurun kai,	昔大辽为天子，金太祖系大辽之属国也。
meni haqin haqin be dabume gisurerengge, gemu sume hvwaliyambume jirgaqun ojoro jalin de, meni fuqihi xajin be bithe arafi unggihe.	我之种种譬喻，皆为化解求安也。故将我佛家法门，修书遣往。”
gala -i duin simhun lasha saqibuha,	四指被斩断。
nikan amban jang cun xin jabume,	汉承政张存仁对曰：
ere amba dain be daqi meni buyeme deribuhengge waka,	“兴此大兵，本非我所愿，
jang douli -i qouha be gidaha de, bi mini jalan be gaifi joriha jurgan be jurqehekv dosika,	击败张道台兵时，彼率本甲喇不违所授方略进击。
orin uyun de, sure han -i bithe, qahar -i jinong hvwang taiji, naiman -i hvng baturu, auhan -i dureng, seqen joriktu, ere duin beile de unggihe,	二十九日，天聪汗致书察哈尔部济浓黄台吉，奈曼部洪巴图鲁，敖汉部杜棱、色臣卓里克图四贝勒曰：
solho meni juwe gurun de daqi umai weile akv bihe,	朝鲜与我两国，素无怨衅。
suweni wara mujangga,	“尔等杀之者是也。
juxen jing geneme jime yabume, inenggidari weile ebxeme emu udu inenggi tebufi, burtei eture etuku arame wajifi,	“诸申往来频繁，终日忙于事，留住几日，所用衣服悉缝制毕。
sirdan wehe de yasa biu,	“矢石岂有眼耶，
julgei u ki gebungge amban, ini qouhai niyalmai you be simire de, terei eme songgome,	昔吴起吮其卒之痈时，卒之母哭曰：
gvwa be gemu bederebuhe.	余悉却之。
gvsin de, bodoi sanjin de emu uksin saqa buhe.	三十日，赐博德依三晋甲胄一。
bi ulin be nemxeme niyalmai ulin be gaifi, beyebe aisi obure bou be madabure oqi, ulin gaime xajin be jurqehe kai,	设臣贪财纳贿，私家利己，贪赃枉法。
gurun -i efu bandi be doroi giyvn wang,	固伦额驸班迪为多罗郡王、
weile wajiqi, be inu hvdun qouha bederembi kai,	事毕我军亦将速退也。
tere weile iletu yargiyan,	事已属实，
juwan emu de, buridu gebungge bade deduhe,	十一日，驻跸布里渡地方。
dalingho -i xun tuhere ergi tai musei juxen karun tehe bihe,	大凌河西台原由我诸申哨卒驻守，
si teni mutuhau, simbe hebei gisun de atanggi dosimbuha bihe,	尔岂至今始成人耶，尔何曾得与会议之列。
suwende bi emu ajige weile be alara sefi, babuhai be hvlafi juleri niyakvrabufi, hendume,	我有一小事告尔众。”遂召巴布海跪于前。复谕曰：
fiyanggv gvsai morin losa jakvn tanggv dehi, ihan eihen duin minggan duin tanggv ninju, niyalma sunja minggan ninggun tanggv, honin juwe minggan, uheri emu tumen juwe minggan uyun tanggv ninggun.	费扬古旗，马骡八百四十、牛驴四千四百六十、人五千六百、羊二千，共计一万二千九百零六。
han, heqen be baha manggi wahakv ujifi, si dorgi ba -i niyalma sere,	汗克城后，待以不死而生养之。闻尔系内地人，
dara ba akv, tere jugvn -i irgen bayan, ai jaka elgiyen,	此路，敌无援兵，民富物丰，
xi guwe ju -i iui deng jeu tuwa baiqame yabuha,	石国柱之于登州曾查管防火、
hvlara hafan faida seme hvlaha manggi, geren gemu faidaha,	赞礼官赞排班，众皆排班，
meiren -i janggin lii xi jung, manju -i duin amban, monggo -i emu amban hoton tuwakiyame te,	着梅勒章京李世忠、满洲大臣四员、蒙古大臣一员守城，
ineku neneme unggihe bithei fadu -i angga be fempilehekv unggihe,	即将其前书未加封赍往。
tere ai sui,	彼有何辜，
tofohoqi de, aru -i kalka -i dahambi seme bithe benjihe elqin hengkilehe,	第十五，阿鲁喀尔喀部进降表使者叩贺；
