input	output
hoton baha seme gvsin yan xangnaha,	克城，赐银三十两。
ere be gisun fonjifi waha.	讯问后杀之。
tereqi musei yaya elqin lakqaha,	言尔等如不罢锦州城工，我将发兵等语。而后我即兴师，
mini qouha suweni tere gese suwende bahabuha biqi, tuttu ujire anggala, uju be hono bibumbiheu,	当孩提之时，养育者尔父母也。
ere uheri jakvn tanggv jakvnju bou, juwan nadan niru,	以上共八百八十家，十七牛录。
suwe unenggi ofi minde akdarakv ohode, sini mukvn -i dorgi emu niyalma jiu,	尔若实心诚意，对我有所不信，则遣尔族人一名前来，
juwan de, geren be isabufi han hendume,	初十日，汗集众官员等谕曰：
enggeder efu -i daiqing se, nikan ilan tanggv isire yafahan qouha waliyaha gaxan de ing hadafi bihe be gidafi wara de,	出略之巴克什乌讷格来书云：
fujiyang ho k’o g’ang daharakv marara be, zu jafafi hoton qi tuqibufi juwe niyalma anatame gajifi, hoton -i wargi derei ulan -i tule saqime waha,	二十八日，诸副将、参将、游击、守备、都司均与祖总兵官合谋归降，
dalingho be gaiha mudan de, hoton tuwakiya seme werihe, hoton -i qouha tuqifi, tulai dosika de, juwe jergi afaha,	克大凌河之役，留其守城，城中兵出，图赖进击，彼亦连战二次。
orin nadan de, enduringge han lin jin giyang be doufi, pa jeu de deduhe,	二十七日，圣汗渡临津江，至琶州驻营。
janggisa hiyasa be unggifi emu dedume fudehe.	二十七日，外蒙古诸贝勒奏汗曰：
meni fuqihi -i xabi, beye udu yadaqibe doro yadahvn akv,	我佛门弟子，身虽贪而道不贪，
juwan de, weijeng nangsu be geli takvraha,	初十日，复遣卫征囊苏往宁远，
tere inenggi, jalait gurun -i erebu, han de dehi seke gajime jihe.	是日，扎责特部额呼布来献汗貂皮四十。
zu marame han be neneme omi serede, han, amba beile de neneme angga isibufi han omiha,	备馔宴之。汗以金盅酌酒进祖，祖辞，
ilan morin emu temen jafaha bihe,	献马三、驼一，
meni meni qouha be gajime aqanjime jifi, han de hengkileme aqara de, suje ulin temen morin ambula jafaha bihe,	各率兵来会，拜见汗，献财帛、驼马甚多，
sung lo qai gvsin bouse, bai qai emu minggan emu tanggv bouse, yendahvn emke, tongmok gurun -i beri juwe,	松萝茶三十包、素茶一千一百包、犬一、通莫克部弓二；
be aqaki sere yargiyan akvqi, meni niyalma be jafafi suwende bufi waqi, bi abka de gelerakvn,	若我非诚心讲和，执我人交与尔等斩之，我岂不畏天乎。
orin nadan de, tusiyetu han -i juwe elqin be amasi takvrafi unggihe,	偕土谢图汗之使臣二人至。
iqe duin de, qahar -i gungju amba sarin sarilaha,	此宴，公主进献：金茶桶一、金酒海一、金壶一、琥珀素珠一、珍珠素珠一、青金石素珠一、珊瑚素珠一、
juwe morin baha,	获马二。
orin emu de, ukxan nakqu -i elqin genehe,	二十一日，乌克善舅舅之使臣还。
enduringge han de ilan jergi niyakvrafi ilan jergi hengkilere de, han karu ilan jergi buhi arame niyakvrafi hengkilehe,	向圣汗行三跪三叩首礼。汗屈膝答拜三次
geren bireme afara bade afakini,	唯遇众人齐战时随众进战。
